L_ind,line,dist,cost,converter_cost,M,C,B,efficiency,lifetime,cap_min,cap_max
1,"[1, 2]",1665,400,150000,0.02,0,1,0.95,40,0,1000000000
2,"[1, 3]",1071,400,150000,0.02,0,1,0.95,40,0,1000000000
3,"[1, 9]",1086,400,150000,0.02,0,1,0.95,40,0,1000000000
4,"[2, 3]",669,400,150000,0.02,0,1,0.95,40,0,1000000000
5,"[2, 4]",561,400,150000,0.02,0,1,0.95,40,0,1000000000
6,"[2, 6]",1093,400,150000,0.02,0,1,0.95,40,0,1000000000
7,"[2, 7]",1617,400,150000,0.02,0,1,0.95,40,0,1000000000
8,"[3, 4]",623,400,150000,0.02,0,1,0.95,40,0,1000000000
9,"[3, 6]",1175,400,150000,0.02,0,1,0.95,40,0,1000000000
10,"[3, 9]",842,400,150000,0.02,0,1,0.95,40,0,1000000000
11,"[4, 6]",595,400,150000,0.02,0,1,0.95,40,0,1000000000
12,"[4, 7]",1484,400,150000,0.02,0,1,0.95,40,0,1000000000
13,"[4, 9]",1091,400,150000,0.02,0,1,0.95,40,0,1000000000
14,"[5, 6]",748,400,150000,0.02,0,1,0.95,40,0,1000000000
15,"[5, 7]",817,400,150000,0.02,0,1,0.95,40,0,1000000000
16,"[5, 8]",1528,400,150000,0.02,0,1,0.95,40,0,1000000000
17,"[5, 10]",1124,400,150000,0.02,0,1,0.95,40,0,1000000000
18,"[5, 11]",1690,400,150000,0.02,0,1,0.95,40,0,1000000000
19,"[6, 7]",1175,400,150000,0.02,0,1,0.95,40,0,1000000000
20,"[6, 9]",1320,400,150000,0.02,0,1,0.95,40,0,1000000000
21,"[6, 11]",1140,400,150000,0.02,0,1,0.95,40,0,1000000000
22,"[7, 10]",1451,400,150000,0.02,0,1,0.95,40,0,1000000000
23,"[8, 10]",2229,400,150000,0.02,0,1,0.95,40,0,1000000000
24,"[8, 11]",567,400,150000,0.02,0,1,0.95,40,0,1000000000
25,"[9, 11]",573,400,150000,0.02,0,1,0.95,40,0,1000000000
